,100_episode_avg,episode_score
episode_1,0.0,
episode 1,,0.0
episode_2,0.0,
episode 2,,0.0
episode_3,0.0,
episode 3,,0.0
episode_4,0.0,
episode 4,,0.0
episode_5,0.0,
episode 5,,0.0
episode_6,0.0,
episode 6,,0.0
episode_7,0.0,
episode 7,,0.0
episode_8,0.0,
episode 8,,0.0
episode_9,0.0,
episode 9,,0.0
episode_10,0.0,
episode 10,,0.0
episode_11,0.0,
episode 11,,0.0
episode_12,0.008333333457509676,
episode 12,,0.10000000149011612
episode_13,0.007692307806932009,
episode 13,,0.0
episode_14,0.007142857249294009,
episode 14,,0.0
episode_15,0.013333333532015483,
episode 15,,0.10000000149011612
episode_16,0.012500000186264515,
episode 16,,0.0
episode_17,0.01176470605766072,
episode 17,,0.0
episode_18,0.011111111276679568,
episode 18,,0.0
episode_19,0.01578947391949202,
episode 19,,0.10000000149011612
episode_20,0.020000000298023225,
episode 20,,0.10000000149011612
episode_21,0.019047619331450688,
episode 21,,0.0
episode_22,0.018181818452748386,
episode 22,,0.0
episode_23,0.017391304606976715,
episode 23,,0.0
episode_24,0.016666666915019352,
episode 24,,0.0
episode_25,0.020000000298023225,
episode 25,,0.10000000149011612
episode_26,0.019230769517330024,
episode 26,,0.0
episode_27,0.01851851879446595,
episode 27,,0.0
episode_28,0.017857143123235022,
episode 28,,0.0
episode_29,0.0172413795672614,
episode 29,,0.0
episode_30,0.016666666915019352,
episode 30,,0.0
episode_31,0.016129032498405825,
episode 31,,0.0
episode_32,0.015625000232830644,
episode 32,,0.0
episode_33,0.018181818452748386,
episode 33,,0.10000000149011612
episode_34,0.01764705908649108,
episode 34,,0.0
episode_35,0.017142857398305622,
episode 35,,0.0
episode_36,0.016666666915019352,
episode 36,,0.0
episode_37,0.01891891920083278,
episode 37,,0.10000000149011612
episode_38,0.021052631892656024,
episode 38,,0.10000000149011612
episode_39,0.020512820818485357,
episode 39,,0.0
episode_40,0.020000000298023225,
episode 40,,0.0
episode_41,0.019512195412705585,
episode 41,,0.0
episode_42,0.019047619331450688,
episode 42,,0.0
episode_43,0.018604651440021602,
episode 43,,0.0
episode_44,0.018181818452748386,
episode 44,,0.0
episode_45,0.01777777804268731,
episode 45,,0.0
episode_46,0.017391304606976715,
episode 46,,0.0
episode_47,0.017021276849381466,
episode 47,,0.0
episode_48,0.018750000279396772,
episode 48,,0.10000000149011612
episode_49,0.018367347212470308,
episode 49,,0.0
episode_50,0.018000000268220902,
episode 50,,0.0
episode_51,0.01764705908649108,
episode 51,,0.0
episode_52,0.01730769256559702,
episode 52,,0.0
episode_53,0.016981132328510284,
episode 53,,0.0
episode_54,0.016666666915019352,
episode 54,,0.0
episode_55,0.016363636607473548,
episode 55,,0.0
episode_56,0.01607142881091152,
episode 56,,0.0
episode_57,0.01578947391949202,
episode 57,,0.0
episode_58,0.01551724161053526,
episode 58,,0.0
episode_59,0.015254237515441442,
episode 59,,0.0
episode_60,0.015000000223517418,
episode 60,,0.0
episode_61,0.014754098580508936,
episode 61,,0.0
episode_62,0.014516129248565244,
episode 62,,0.0
episode_63,0.014285714498588018,
episode 63,,0.0
episode_64,0.01406250020954758,
episode 64,,0.0
episode_65,0.013846154052477617,
episode 65,,0.0
episode_66,0.013636363839561289,
episode 66,,0.0
episode_67,0.013432836021060374,
episode 67,,0.0
episode_68,0.01323529431486831,
episode 68,,0.0
episode_69,0.013043478455232538,
episode 69,,0.0
episode_70,0.012857143048729215,
episode 70,,0.0
episode_71,0.012676056526916129,
episode 71,,0.0
episode_72,0.012500000186264515,
episode 72,,0.0
episode_73,0.012328767307000617,
episode 73,,0.0
episode_74,0.013513513714880557,
episode 74,,0.10000000149011612
episode_75,0.013333333532015483,
episode 75,,0.0
episode_76,0.013157894932910016,
episode 76,,0.0
episode_77,0.012987013180534562,
episode 77,,0.0
episode_78,0.012820513011553349,
episode 78,,0.0
episode_79,0.013924050840395915,
episode 79,,0.10000000149011612
episode_80,0.013750000204890967,
episode 80,,0.0
episode_81,0.013580247115941696,
episode 81,,0.0
episode_82,0.01341463434623509,
episode 82,,0.0
episode_83,0.01445783154073968,
episode 83,,0.10000000149011612
episode_84,0.015476190706803686,
episode 84,,0.10000000149011612
episode_85,0.015294117874958936,
episode 85,,0.0
episode_86,0.015116279295017554,
episode 86,,0.0
episode_87,0.014942528958293214,
episode 87,,0.0
episode_88,0.014772727492858063,
episode 88,,0.0
episode_89,0.014606741790691118,
episode 89,,0.0
episode_90,0.014444444659683439,
episode 90,,0.0
episode_91,0.014285714498588018,
episode 91,,0.0
episode_92,0.014130434993168583,
episode 92,,0.0
episode_93,0.013978494831951715,
episode 93,,0.0
episode_94,0.014893617243208784,
episode 94,,0.10000000149011612
episode_95,0.014736842324859218,
episode 95,,0.0
episode_96,0.014583333550641933,
episode 96,,0.0
episode_97,0.014432989905789955,
episode 97,,0.0
episode_98,0.014285714498588018,
episode 98,,0.0
episode_99,0.014141414352137633,
episode 99,,0.0
episode_100,0.014000000208616257,
episode 100,,0.0
episode_101,0.014000000208616257,
episode 101,,0.0
episode_102,0.015000000223517418,
episode 102,,0.10000000149011612
episode_103,0.015000000223517418,
episode 103,,0.0
episode_104,0.015000000223517418,
episode 104,,0.0
episode_105,0.015000000223517418,
episode 105,,0.0
episode_106,0.015000000223517418,
episode 106,,0.0
episode_107,0.01600000023841858,
episode 107,,0.10000000149011612
episode_108,0.01600000023841858,
episode 108,,0.0
episode_109,0.01700000025331974,
episode 109,,0.10000000149011612
episode_110,0.01700000025331974,
episode 110,,0.0
episode_111,0.01700000025331974,
episode 111,,0.0
episode_112,0.01600000023841858,
episode 112,,0.0
episode_113,0.01600000023841858,
episode 113,,0.0
episode_114,0.01600000023841858,
episode 114,,0.0
episode_115,0.015000000223517418,
episode 115,,0.0
episode_116,0.015000000223517418,
episode 116,,0.0
episode_117,0.015000000223517418,
episode 117,,0.0
episode_118,0.015000000223517418,
episode 118,,0.0
episode_119,0.014000000208616257,
episode 119,,0.0
episode_120,0.013000000193715095,
episode 120,,0.0
episode_121,0.013000000193715095,
episode 121,,0.0
episode_122,0.014000000208616257,
episode 122,,0.10000000149011612
episode_123,0.014000000208616257,
episode 123,,0.0
episode_124,0.015000000223517418,
episode 124,,0.10000000149011612
episode_125,0.014000000208616257,
episode 125,,0.0
episode_126,0.014000000208616257,
episode 126,,0.0
episode_127,0.014000000208616257,
episode 127,,0.0
episode_128,0.014000000208616257,
episode 128,,0.0
episode_129,0.014000000208616257,
episode 129,,0.0
episode_130,0.014000000208616257,
episode 130,,0.0
episode_131,0.014000000208616257,
episode 131,,0.0
episode_132,0.014000000208616257,
episode 132,,0.0
